participant,sentence
INV1,"did you have fun pointing at all that stuff, Meredith ?"
CHI,yeah .
INV1,oops !
CHI,mm@u .
INV1,can you catch ?
CHI,&=laughs .
INV1,uhoh !
CHI,ŋŋ@u .
INV1,here it comes .
CHI,&=chuckles .
INV1,ready ?
INV1,ugh .
INV1,"you're a good thrower, Meredith ."
CHI,&=laughs .
INV1,&=laughs .
INV1,uhoh !
CHI,it bounced into the box !
INV1,yeah .
INV1,"it's like basketball, almost ."
INV1,do you ever see people play basketball ?
CHI,yeah .
INV1,yeah ?
INV1,you're a good catcher and a good thrower .
INV1,do you have bouncy balls like this at home ?
CHI,n:o .
INV1,no ?
INV1,oops !
CHI,well I have a <bæsɛbʌbɔl@u æ@u> [= basketball at] I [/] I have home .
INV1,yeah ?
INV1,do you like playing with it ?
CHI,yeah .
INV1,yeah ?
CHI,I have three balls .
INV1,three balls ?
CHI,I don't have a blue ball .
INV1,no blue ball ?
INV1,what color are they ?
CHI,&-um .
CHI,red and blue .
INV1,red and blue ?
CHI,those are the lɨl@u [: little] balls I have .
INV1,lɨl@u [/-] how big are they ?
CHI,"&-um, they're [/] they're little ."
INV1,little ?
INV1,do they bounce really high like this one ?
CHI,ɛn@u .
INV1,like that ?
CHI,no .
INV1,do you just throw (th)em around ?
CHI,we just fro@u [: throw] them around .
INV1,yeah .
INV1,&=exclaims .
CHI,&=chuckles .
CHI,æhu:@u [=? uhoh] .
INV1,"ugh, oops ."
CHI,oops .
INV1,can you go get it ?
INV1,you need help getting off the chair ?
INV1,no .
INV1,who taughtcha [: taught you] how to throw like that ?
INV1,you're a good thrower .
CHI,mommy did .
INV1,mommy ?
CHI,and daddy .
INV1,"and daddy, wow ."
INV1,they taughtchu [: taught you] good .
INV1,to throw .
INV1,"ooh, got it ."
INV1,"ooh, basket, yay ."
CHI,&=struggles .
INV1,can you get it ?
CHI,ugh .
INV1,good job .
CHI,ugh .
CHI,æ@u [/?] ɤai@u [=? one of my] friends is Sophie .
INV1,who's Sophie ?
CHI,"&-um, my friend ."
INV1,where does she live ?
