participant,sentence
MOT,okay ?
CHI,"hi , Helen ."
MOT,yeah .
MOT,you can see Helen .
MOT,and Tina .
MOT,did you say hi to Tina ?
CHI,hi Tina .
CHI,xxx .
MOT,yeah .
MOT,what would Jack like to talk about ?
CHI,hi Tina .
MOT,what would Jack +/.
CHI,goodbye .
MOT,what would Jack like to talk about ?
CHI,goodbye .
MOT,Jack like to talk about &-um [/?] I know .
MOT,would Jack like to talk [/?] tell Helen and Tina about Cape_Cod ?
CHI,been to Cape_Cod .
MOT,yeah .
MOT,but Jack went swimming in the ocean .
MOT,did Jack go swimming ?
CHI,where's daddy [x 2] ?
MOT,who did Jack go swimming with ?
CHI,daddy .
MOT,daddy .
CHI,where's daddy [x 2] ?
MOT,and what did Jack and daddy do in the water ?
CHI,where's daddy [x 2] ?
MOT,"daddy's at work , and daddy will be home +/."
CHI,then we'll take you to Cape_Cod with daddy .
MOT,on friday .
CHI,goodbye Cape_Cod .
MOT,"no , goodbye mama ."
MOT,you and daddy are going on friday .
CHI,to +/.
MOT,mommy and joy will go on saturday .
CHI,to Cape_Cod .
MOT,right .
MOT,and Jack and daddy were [/?] swimming down on Cape_Cod .
MOT,what were [/?] you doing ?
CHI,under water .
MOT,under water .
CHI,just like Aquaman .
MOT,"just like Aquaman , that's right ."
CHI,let's go home .
CHI,under water .
MOT,were [/?] you playing a game underwater ?
CHI,let's go home .
MOT,"Jack , what were [/?] you jumping off of ?"
CHI,the diving board .
MOT,"no , Jack was [/?] jumping off that +/."
CHI,raft .
MOT,raft .
MOT,that's right .
MOT,and then you and daddy flipped the raft over +/.
CHI,we tipped Uncle_Danny under [/?] under water .
MOT,and you tipped Uncle_Danny underwater .
MOT,off that raft .
CHI,tipped +/.
CHI,can we go [/?] go today ?
MOT,you wanna go today ?
CHI,yeah .
MOT,well we can't go today because jacks has [/?] to go to school tomorrow .
CHI,goodbye cape +/.
MOT,but we can go +/.
MOT,we can go to Cape_Cod on +/.
CHI,friday .
MOT,friday .
MOT,and what's today ?
CHI,we will see you on friday ?
MOT,"Jack , see you on friday Cape_Cod ."
CHI,have a nice summer .
CHI,goodbye +/.
MOT,"Jack , what's today ?"
CHI,don't want goodbye .
MOT,today is [/?] +/.
MOT,"Jack , today is [/?] +/."
CHI,monday .
MOT,monday .
MOT,"so there's <monday , tuesday , wednesday , thursday , and friday> [/?] ."
MOT,"<tuesday , wednesday , thursday> [/?] four more days ."
MOT,okay ?
CHI,"sunday , monday Helen_Flusberg ."
CHI,"tuesday , wednesday Helen_Flusberg ."
MOT,mon [/?] today's monday and Helen_Flusberg is here .
CHI,"thursday , friday Helen_Flusberg ."
MOT,right .
CHI,hello Jack how are you ?
MOT,is [/?] that what Helen said to Jack ?
MOT,hello Jack how are you .
CHI,Jack says sunday monday .
MOT,Helen's here on monday .
MOT,today is monday .
MOT,okay ?
MOT,and who else was [/?] down on cape cod that Jack just loves ?
MOT,what's that big white dog named ?
MOT,<what little dog> [/?] what big dog was [/?] down on Cape_Cod with us Jack ?
MOT,who was [/?] there ?
MOT,Jack .
MOT,Jack .
MOT,what's the name of Uncle_Danny's dog ?
CHI,Sasha .
MOT,Sasha .
CHI,can we go next sun +/.
CHI,can we go today ?
MOT,you're gonna go on friday .
CHI,good +/.
MOT,<and what did Jack> [/?] what did Jack do with Sasha ?
MOT,did Jack get the leash ?
CHI,went from the cottage .
MOT,and we took Sasha down to the +/.
CHI,cape .
MOT,down to the beach .
MOT,"for a walk , along the beach ."
CHI,can we go next thursday ?
MOT,and what did Sasha do ?
MOT,"Sasha ran away from Jack , and Jack +/."
MOT,what did Jack do ?
CHI,go Wet_Willie .
MOT,Jack what ?
CHI,go Wet_Willie .
MOT,"yeah , Jack played with willie too ."
MOT,and willie is a +/.
CHI,okay .
CHI,boy .
MOT,willie is a +/.
CHI,girl .
MOT,willie is a +/.
CHI,boy .
MOT,willie is a +/.
MOT,what's willie ?
MOT,willie is +/.
CHI,boy .
MOT,a +/.
MOT,just like Sasha .
MOT,willie's a dog .
MOT,so Jack played with willie and Sasha and he had lots_of fun down there ?
MOT,moving right along .
MOT,now .
MOT,"Jack , look at +/."
MOT,what do you say ?
CHI,car .
MOT,what do you say ?
CHI,car .
CHI,yeah .
CHI,xxx .
CHI,what do you think ?
CHI,don't worry .
MOT,"Jack , what is that ?"
MOT,"Jack , who's that a picture of ?"
MOT,let's look at that Jack .
MOT,who's that a picture of ?
CHI,Guy_Smiley .
MOT,who's that ?
MOT,that's not Guy_Smiley .
MOT,who's that ?
MOT,who's this ?
MOT,"Jack , look ."
MOT,who's that ?
CHI,Big_Bird .
MOT,Big_Bird .
MOT,who else ?
MOT,who's that ?
CHI,Bert and Ernie .
MOT,Bert and Ernie .
MOT,and who's that ?
CHI,Grover .
MOT,Grover .
MOT,what does that say ?
CHI,Sesame_Street [/?] .
MOT,Sesame_Street .
CHI,<Big_Bird color forms play set> [/?] .
MOT,play set .
MOT,very good .
MOT,that looks like fun .
MOT,you wanna play with that ?
MOT,oops [/?] .
MOT,there you go .
MOT,that looks like fun .
MOT,what's Jack gonna put in the box ?
CHI,where's +/.
CHI,where's Barclay ?
MOT,where is Barclay ?
MOT,can you pick out Barclay ?
CHI,hi Barclay .
MOT,hi Barclay .
MOT,here .
CHI,count .
MOT,where you gonna put Barclay on Sesame_Street ?
CHI,count .
MOT,can you put Barclay on Sesame_Street ?
MOT,"oh , way up there ?"
MOT,who else ?
MOT,who's that ?
MOT,who's that ?
MOT,"oh , what's that ?"
MOT,"Jack , do you know what that is [% cc] ?"
MOT,what is that ?
MOT,what's that ?
CHI,put a plug in .
CHI,turn if off .
CHI,you put a plug in .
MOT,Jack can watch those cartoons as_soon_as &-um [/?] Helen and Tina leave .
CHI,okay .
MOT,okay ?
MOT,who's that guy ?
MOT,what's his name ?
MOT,who's this guy here ?
MOT,look at that big belly .
MOT,what's his name ?
MOT,"Jack , what's this guy's name ?"
MOT,what's his name ?
CHI,xxx .
MOT,that looks like Harry_Monster .
CHI,need pieces .
CHI,xxx .
MOT,is [/?] that Harry_Monster ?
CHI,pieces .
MOT,and what's Harry_Monster doing ?
MOT,who's this guy ?
MOT,would Jack like to talk to me and tell me who these guys are ?
CHI,no .
MOT,no ?
MOT,"alright , you put him on the &-um [/?] +/."
MOT,"put him on the board , okay ?"
MOT,what's that ?
CHI,okay .
MOT,Jack likes this .
MOT,what is this ?
MOT,you and daddy do this all the time .
CHI,one [/?] +/.
MOT,what's that ?
CHI,<two three> [/?] .
MOT,"Jack , what is that ?"
MOT,and what's this ?
CHI,Bert .
MOT,what's that ?
MOT,Jack look at this little thing .
MOT,what is this ?
MOT,this is a picture of a +/.
CHI,ball .
MOT,ball .
MOT,and what does Jack always do with the baseball ?
MOT,Jack winds up for the +/.
CHI,pitch .
MOT,"pitch , right ."
MOT,and then what's this ?
MOT,"oh , my_goodness ."
MOT,that's a big yawn .
MOT,that was [/?] a big yawn for a little guy .
CHI,Josh .
CHI,my name .
CHI,"cheers , Josh , xxx ."
CHI,xxx .
CHI,come on xxx .
CHI,time to go .
MOT,Jack sit down .
CHI,no !
