participant,sentence
MOT,yucky !
MOT,yuck !
MOT,oh !
MOT,oh !
MOT,look at your hair .
MOT,are you &be +/.
MOT,are you spitting ?
MOT,oh is that your tongue ?
MOT,that's your tongue !
MOT,that's (.) your (.) tongue !
MOT,oh !
MOT,oh !
MOT,oh !
MOT,Rube .
MOT,no shout:ing .
MOT,no shout:ing .
MOT,show me your handies@f [: hands] .
MOT,where are Rube's hands ?
MOT,clip clap .
MOT,clip clap .
MOT,you do it .
MOT,good girl !
MOT,clip clap .
MOT,hey .
MOT,why d(o) y(ou) like that ?
MOT,o:h !
MOT,ee@p .
MOT,o:h !
MOT,look at those legs .
MOT,oh look at those chunky thighs !
MOT,yes you're so cute !
MOT,are you so cute ?
MOT,toes .
MOT,toes .
MOT,t-t-t-tootsies@f .
MOT,toes !
MOT,toes !
MOT,yeah !
MOT,d(o) y(ou) know this one ?
MOT,<this little piggy went to the market this little piggy stayed home this little piggy had roast beef this little piggy had none and this little piggy cried weeweewee@o all the way home> [=! singing] .
MOT,again ?
MOT,again ?
MOT,<this little piggy went to the market this little piggy stayed> [=! singing] +/.
MOT,no ?
MOT,no ?
MOT,"okay, this +/."
MOT,d(o) want (t)o do this foot ?
MOT,0will we do little piggy ?
MOT,little piggy toes ?
MOT,piggy toes ?
MOT,piggy [x 15] .
MOT,"look, look at this ."
MOT,<round and round the garden like a teddy_bear one step two step and tickly under there> [=! singing] .
MOT,hooray !
MOT,"we do this, show, (wi)ll we do this hand ?"
MOT,0will we do this hand ?
MOT,no ?
MOT,oh oh oh oh .
MOT,oh oh oh .
MOT,oh oh oh .
MOT,<play the drum everyone play the drum have some fun everyone have some fun> [=! singing] .
MOT,"yeah, dadadadada@p ."
MOT,yeah !
MOT,bang !
MOT,gimme five ?
MOT,gimme five ?
MOT,(hoo)ray good girl !
MOT,gimme five ?
MOT,(hoo)ray !
MOT,"high+five, high+five ."
MOT,low five .
MOT,oh !
MOT,oh !
MOT,what's up there ?
MOT,what's up there ?
MOT,d(o) y(ou) see the flowers ?
MOT,flowers !
MOT,yeah !
MOT,pretty flowers !
MOT,<pretty> [!] flowers !
MOT,yeah .
MOT,yeah .
MOT,dah@i .
MOT,dah@i .
MOT,0will we put on your red shoes later ?
MOT,oh y(ou)'ll be pretty in your red shoes !
MOT,dadadaa@p .
MOT,da@p !
MOT,da@p !
MOT,wah .
MOT,wah_wah_wah_wah@p .
MOT,yah !
MOT,yah !
MOT,oh you beautiful girl !
MOT,Rube !
MOT,<Rube [x 12]> [=! singing] .
MOT,<Rube [x 6] little Rube [x 6]> [=! singing] .
MOT,"yes, your song [!], it's your song !"
