participant,sentence
MOT,"sit down, sit down ."
MOT,"oh, you stop banging, stop banging !"
MOT,"ah, will we do Round_And_Round_The_Garden ?"
MOT,come_on .
MOT,you ready ?
MOT,<round and round the garden like a teddy_bear> [=! singing] no ?
MOT,no ?
MOT,no ?
MOT,stop banging .
MOT,stop banging .
MOT,ta-ta@f .
MOT,"ta-ta@f, ta-ta@f, ta-ta@f ."
MOT,ta-ta@f .
MOT,ta-ta@f no more banging .
MOT,"where's the duck, where's the duck ?"
MOT,&=imit:duck quack quack .
MOT,can you say Sinead ?
MOT,say Sinead .
MOT,Sinead !
MOT,Eri ?
MOT,"Eri, where's daddy ?"
MOT,where's daddy ?
MOT,where's he gone ?
MOT,"stop, put that down ."
MOT,ta-ta@f .
MOT,"okay, go_on, sit down, sit down ."
MOT,ta-ta@f .
MOT,ta-ta@f .
MOT,"please, no mammy's +//."
MOT,"okay, okay, sit down, sit down, you're going to fall off the chair, move in ."
MOT,where's Sinead ?
MOT,where's Sinead ?
MOT,where's Sinead ?
MOT,gone ?
MOT,where's he gone ?
MOT,"look, look, what's this ?"
MOT,it's Mommy's .
MOT,mhm .
MOT,&=imit:coffee yeah .
MOT,"hot, hot, is it hot ?"
MOT,feel .
MOT,"who is it, what is it, is it coffee ?"
MOT,&=imit:yeah !
MOT,"where's Sinead, where's Sinead ?"
MOT,"now you're going to fall off that chair, sit in, sit in ."
MOT,Eri .
MOT,sit down .
MOT,"up you get, now, good girl ."
MOT,okay .
MOT,"catch my hands, catch my hands dododododododododododo@wp ."
MOT,uhoh all gone !
MOT,haha all gone .
MOT,<all gone> [=! singing] .
MOT,<all gone> [=! singing] .
MOT,sit down .
MOT,clap hands for me .
MOT,will we do clap handies@f (un)til daddy comes home ?
MOT,<clap handies@f [: hands] clap handies@f [: hands] (un)til daddy comes home with sweets in his pocket for Eri alone> [=! singing] .
MOT,"and none for naughty <Neil> [!], will we do Row_Row_Row_Your_Boat ?"
MOT,Round_And_Round_The_Garden ?
MOT,"<round and round the garden> [=! singing] oh, oh ."
MOT,you do it to mammy ?
MOT,like a teddy_bear bear !
MOT,come_on .
MOT,<one step two step tickly@f [: tickle] under there> [=! singing] .
MOT,good girl !
MOT,will you sing Twinkle_Twinkle_Little_Star for me ?
MOT,"huh, where's Sinead ?"
MOT,where's Sinead ?
MOT,sit down please .
MOT,sit down .
MOT,"she's gone, sit down please ."
MOT,sit down !
MOT,you wanna get down ?
MOT,"no, no ?"
MOT,"no, no, no Sinead is coming back in a minute look ."
MOT,we'll do something else .
MOT,Mommy's gone .
MOT,Mommy's gone .
MOT,ah .
MOT,no .
MOT,no pet .
MOT,why ?
MOT,haha get off the table .
MOT,"no, no, no, down !"
MOT,down !
MOT,down !
MOT,"haha, get down !"
MOT,get down !
MOT,ah ah ah ah ah ah get down .
MOT,ah ah ah ah@wp .
MOT,"oh you tired, will we do quack quack ."
MOT,&quack quack quack quack quack .
